date,open,high,low,close
"20121012  13:30:00",0.26,0.26,0.21,0.22
"20121012  13:31:00",0.22,0.23,0.21,0.23
"20121012  13:32:00",0.24,0.28,0.22,0.28
"20121012  13:33:00",0.27,0.29,0.24,0.25
"20121012  13:34:00",0.27,0.31,0.25,0.27
"20121012  13:35:00",0.29,0.30,0.25,0.27
"20121012  13:36:00",0.23,0.30,0.23,0.29
"20121012  13:37:00",0.28,0.28,0.25,0.26
"20121012  13:38:00",0.25,0.25,0.22,0.22
"20121012  13:39:00",0.22,0.24,0.21,0.24
"20121012  13:40:00",0.22,0.26,0.22,0.26
"20121012  13:41:00",0.25,0.25,0.21,0.23
"20121012  13:42:00",0.21,0.23,0.20,0.23
"20121012  13:43:00",0.20,0.21,0.20,0.21
"20121012  13:44:00",0.21,0.21,0.16,0.17
"20121012  13:45:00",0.20,0.20,0.18,0.18
"20121012  13:46:00",0.17,0.20,0.15,0.16
"20121012  13:47:00",0.15,0.17,0.15,0.17
"20121012  13:48:00",0.20,0.25,0.19,0.21
"20121012  13:49:00",0.19,0.25,0.19,0.23
"20121012  13:50:00",0.23,0.25,0.22,0.22
"20121012  13:51:00",0.25,0.25,0.21,0.21
"20121012  13:52:00",0.20,0.23,0.19,0.20
"20121012  13:53:00",0.20,0.27,0.19,0.19
"20121012  13:54:00",0.23,0.25,0.21,0.23
"20121012  13:55:00",0.21,0.23,0.20,0.20
"20121012  13:56:00",0.24,0.24,0.20,0.21
"20121012  13:57:00",0.21,0.24,0.17,0.20
"20121012  13:58:00",0.20,0.23,0.20,0.20
"20121012  13:59:00",0.21,0.24,0.19,0.24
"20121012  14:00:00",0.24,1.19,0.21,0.21
"20121012  14:01:00",0.21,0.24,0.19,0.21
"20121012  14:02:00",0.20,0.21,0.19,0.19
"20121012  14:03:00",0.19,0.19,0.15,0.15
"20121012  14:04:00",0.16,0.20,0.16,0.20
"20121012  14:05:00",0.16,0.18,0.16,0.18
"20121012  14:06:00",0.15,0.15,0.14,0.15
"20121012  14:07:00",0.13,0.15,0.13,0.13
"20121012  14:08:00",0.12,0.18,0.12,0.13
"20121012  14:09:00",0.15,0.15,0.12,0.14
"20121012  14:10:00",0.13,0.18,0.12,0.17
"20121012  14:11:00",0.16,0.16,0.15,0.15
"20121012  14:12:00",0.14,0.14,0.10,0.11
"20121012  14:13:00",0.11,0.11,0.09,0.11
"20121012  14:14:00",0.10,0.12,0.10,0.11
"20121012  14:15:00",0.09,0.09,0.09,0.09
"20121012  14:16:00",0.11,0.15,0.11,0.15
"20121012  14:17:00",0.15,0.15,0.15,0.15
"20121012  14:18:00",0.12,0.12,0.12,0.12
"20121012  14:19:00",0.15,0.15,0.12,0.12
"20121012  14:20:00",0.12,0.12,0.12,0.12
"20121012  14:21:00",0.14,0.15,0.14,0.15
"20121012  14:22:00",0.16,0.16,0.16,0.16
"20121012  14:23:00",0.16,0.25,0.16,0.23
"20121012  14:24:00",0.21,0.39,0.18,0.20
"20121012  14:25:00",0.21,0.22,0.20,0.22
"20121012  14:26:00",0.22,0.29,0.21,0.29
"20121012  14:27:00",0.28,0.37,0.26,0.35
"20121012  14:28:00",0.35,0.40,0.34,0.37
"20121012  14:29:00",0.40,0.42,0.36,0.39
"20121012  14:30:00",0.35,0.35,0.30,0.30
"20121012  14:31:00",0.27,0.28,0.21,0.22
"20121012  14:32:00",0.24,0.26,0.21,0.25
"20121012  14:33:00",0.22,0.32,0.22,0.32
"20121012  14:34:00",0.30,0.34,0.27,0.29
"20121012  14:35:00",0.30,0.30,0.24,0.26
"20121012  14:36:00",0.26,0.27,0.24,0.25
"20121012  14:37:00",0.27,0.27,0.25,0.26
"20121012  14:38:00",0.24,0.25,0.23,0.25
"20121012  14:39:00",0.23,0.27,0.22,0.25
"20121012  14:40:00",0.25,0.25,0.18,0.23
"20121012  14:41:00",0.20,0.20,0.15,0.18
"20121012  14:42:00",0.17,0.17,0.16,0.17
"20121012  14:43:00",0.16,0.18,0.15,0.16
"20121012  14:44:00",0.15,0.17,0.14,0.16
"20121012  14:45:00",0.18,0.18,0.18,0.18
"20121012  14:46:00",0.19,0.19,0.16,0.16
"20121012  14:47:00",0.16,0.17,0.14,0.16
"20121012  14:48:00",0.18,0.19,0.13,0.13
"20121012  14:49:00",0.14,0.15,0.11,0.11
"20121012  14:50:00",0.11,0.16,0.11,0.13
"20121012  14:51:00",0.15,0.15,0.10,0.10
